Timestamp,CO2,Temperature
2023-04-08T02:47:10,1053,19.1
2023-04-08T02:47:40,1001,19.6
2023-04-08T02:48:11,984,20.0
2023-04-08T02:48:41,979,20.2
2023-04-08T02:49:11,984,20.4
2023-04-08T02:49:41,996,20.6
2023-04-08T02:50:11,1007,20.8
2023-04-08T02:50:41,1074,20.9
2023-04-08T02:51:11,1099,21.1
2023-04-08T02:51:41,1108,21.1
2023-04-08T02:52:11,1111,21.2
2023-04-08T02:52:41,1118,21.3
2023-04-08T02:53:12,1122,21.4
2023-04-08T02:53:42,1133,21.4
2023-04-08T02:54:12,1174,21.5
2023-04-08T02:54:42,1174,21.5
2023-04-08T02:55:12,1177,21.6
2023-04-08T02:55:42,1185,21.6
2023-04-08T02:56:12,1196,21.6
2023-04-08T02:56:42,1270,21.6
2023-04-08T02:57:12,1296,21.7
2023-04-08T02:57:42,1319,21.7
2023-04-08T02:58:12,1350,21.7
2023-04-08T02:58:43,1358,21.7
2023-04-08T02:59:13,1366,21.7
2023-04-08T02:59:43,1390,21.8
2023-04-08T03:00:13,1440,21.8
2023-04-08T03:00:43,1459,21.8
2023-04-08T03:01:13,1480,21.8
2023-04-08T03:01:43,1578,21.9
2023-04-08T03:02:13,1578,21.9
2023-04-08T03:02:43,1586,21.9
2023-04-08T03:03:13,1599,21.9
2023-04-08T03:03:44,1633,21.9
2023-04-08T03:04:14,1647,21.9
2023-04-08T03:04:44,1690,22.0
2023-04-08T03:05:14,1734,22.0
2023-04-08T03:05:44,1751,22.0
2023-04-08T03:06:14,1763,22.0
2023-04-08T03:06:44,1782,22.0
2023-04-08T03:07:14,1819,22.0
2023-04-08T03:07:44,1867,22.1
2023-04-08T03:08:14,1927,22.1
2023-04-08T03:08:44,1949,22.1
2023-04-08T03:09:15,1952,22.1
2023-04-08T03:09:45,1958,22.1
2023-04-08T03:10:15,1971,22.2
2023-04-08T03:10:45,2026,22.2
2023-04-08T03:11:15,2089,22.2
2023-04-08T03:11:45,2113,22.2
2023-04-08T03:12:15,2128,22.3
2023-04-08T03:12:45,2209,22.3
2023-04-08T03:13:15,2236,22.3
2023-04-08T03:13:45,2246,22.3
2023-04-08T03:14:16,2250,22.3
2023-04-08T03:14:46,2261,22.4
2023-04-08T03:15:16,2275,22.4
2023-04-08T03:15:46,2296,22.3
2023-04-08T03:16:16,2365,22.4
2023-04-08T03:16:46,2393,22.4
2023-04-08T03:17:16,2410,22.4
2023-04-08T03:17:46,2427,22.4
2023-04-08T03:18:16,2434,22.4
2023-04-08T03:18:46,2441,22.4
2023-04-08T03:19:17,2455,22.4
2023-04-08T03:19:47,2468,22.4
2023-04-08T03:20:17,2493,22.4
2023-04-08T03:20:47,2545,22.4
2023-04-08T03:21:17,2558,22.4
2023-04-08T03:21:47,2573,22.4
2023-04-08T03:22:17,2589,22.4
2023-04-08T03:22:47,2601,22.4
2023-04-08T03:23:17,2609,22.4
2023-04-08T03:23:47,2640,22.4
2023-04-08T03:24:17,2657,22.4
2023-04-08T03:24:48,2663,22.4
2023-04-08T03:25:18,2669,22.4
2023-04-08T03:25:48,2677,22.5
2023-04-08T03:26:18,2690,22.4
2023-04-08T03:26:48,2711,22.5
2023-04-08T03:27:18,2779,22.5
2023-04-08T03:27:48,2792,22.5
2023-04-08T03:28:18,2793,22.4
2023-04-08T03:28:48,2794,22.5
2023-04-08T03:29:18,2803,22.5
2023-04-08T03:29:48,2810,22.5
2023-04-08T03:30:19,2825,22.5
2023-04-08T03:30:49,2850,22.5
2023-04-08T03:31:19,2876,22.5
2023-04-08T03:31:49,2898,22.5
2023-04-08T03:32:19,2923,22.5
2023-04-08T03:32:49,2933,22.5
2023-04-08T03:33:19,2945,22.5
2023-04-08T03:33:49,2953,22.5
2023-04-08T03:34:19,2963,22.5
2023-04-08T03:34:49,2973,22.5
2023-04-08T03:35:20,2980,22.5
2023-04-08T03:35:50,2992,22.5
2023-04-08T03:36:20,2998,22.5
2023-04-08T03:36:50,3010,22.5
2023-04-08T03:37:20,3020,22.5
2023-04-08T03:37:50,3035,22.5
2023-04-08T03:38:20,3044,22.5
2023-04-08T03:38:50,3063,22.5
2023-04-08T03:39:20,3078,22.5
2023-04-08T03:39:50,3087,22.6
2023-04-08T03:40:20,3096,22.6
2023-04-08T03:40:51,3105,22.6
2023-04-08T03:41:21,3108,22.6
2023-04-08T03:41:51,3122,22.6
2023-04-08T03:42:21,3133,22.6
2023-04-08T03:42:51,3148,22.6
2023-04-08T03:43:21,3159,22.6
2023-04-08T03:43:51,3174,22.6
2023-04-08T03:44:21,3186,22.6
2023-04-08T03:44:51,3197,22.6
2023-04-08T03:45:21,3205,22.6
2023-04-08T03:45:52,3236,22.6
2023-04-08T03:46:22,3256,22.6
2023-04-08T03:46:52,3265,22.6
2023-04-08T03:47:22,3274,22.6
2023-04-08T03:47:52,3277,22.6
2023-04-08T03:48:22,3280,22.7
2023-04-08T03:48:52,3280,22.6
2023-04-08T03:49:22,3287,22.6
2023-04-08T03:49:52,3316,22.6
2023-04-08T03:50:22,3347,22.6
2023-04-08T03:50:52,3356,22.6
2023-04-08T03:51:23,3358,22.7
2023-04-08T03:51:53,3363,22.6
2023-04-08T03:52:23,3369,22.6
2023-04-08T03:52:53,3373,22.6
2023-04-08T03:53:23,3381,22.6
2023-04-08T03:53:53,3402,22.7
2023-04-08T03:54:23,3420,22.7
2023-04-08T03:54:53,3423,22.7
2023-04-08T03:55:23,3433,22.7
2023-04-08T03:55:53,3439,22.7
2023-04-08T03:56:24,3449,22.7
2023-04-08T03:56:54,3452,22.7
2023-04-08T03:57:24,3456,22.7
2023-04-08T03:57:54,3467,22.7
2023-04-08T03:58:24,3476,22.7
2023-04-08T03:58:54,3484,22.7
2023-04-08T03:59:24,3491,22.7
2023-04-08T03:59:54,3502,22.7
2023-04-08T04:00:24,3513,22.7
2023-04-08T04:00:54,3527,22.7
2023-04-08T04:01:25,3535,22.7
2023-04-08T04:01:55,3549,22.7
2023-04-08T04:02:25,3555,22.7
2023-04-08T04:02:55,3559,22.7
2023-04-08T04:03:25,3562,22.7
2023-04-08T04:03:55,3566,22.8
2023-04-08T04:04:25,3571,22.7
2023-04-08T04:04:55,3584,22.8
2023-04-08T04:05:25,3595,22.8
2023-04-08T04:05:55,3604,22.8
2023-04-08T04:06:26,3612,22.8
2023-04-08T04:06:56,3625,22.8
2023-04-08T04:07:26,3642,22.8
2023-04-08T04:07:56,3647,22.8
2023-04-08T04:08:26,3649,22.8
2023-04-08T04:08:56,3652,22.8
2023-04-08T04:09:26,3652,22.8
2023-04-08T04:09:56,3659,22.8
2023-04-08T04:10:26,3666,22.8
2023-04-08T04:10:56,3672,22.8
2023-04-08T04:11:26,3677,22.8
2023-04-08T04:11:57,3679,22.8
